"DESCRIPTION","name"
"매매체결 등 정규거래소의 유통기능을 대체하는 다양한 형태의 전자적 증권거래시스템. 일반적으로 상장에는 관여하지 않고 유통만 취급하기 때문에 거래 속도가 빠른 장점이 있음. 미국, 유럽 등 선진국에서 ATS의 비중이 증가하는 추세","ATS(Alternative Trading System, 대체거래시스템)"
"1981년 1월에 설립된 호주 채권·단기금융시장의 청산 결제기구이다. 대부분의 주정부증권(State Government Securities)과 은행, 기업 등이 발행한 채권, CP가 Austraclear를 통해 청산 결제처리되고 있으며 시드니선물거래소에서 거래되는 선물계약의 결제편의도 제공하고 있다. 동 기구는 호주, 뉴질랜드 은행연합과 주요 금융시장 기관들에 의해 공동 소유되고 있다.","AUSTRACLEAR"
"매매거래의 승인, 즉 매매대조(조회)시스템에서 거래의 일방당사자가 당해 거래조건에 동의하는 것을 의미한다. 매매대조 혹은 조회(trade matching or comparison)가 시장 직접참가자간 거래와 관련된 것이라면 confirmation과 affirmation은 시장 직접참가자와 그의 고객(간접참가자)간 증권 또는 대금의 결제를 위한 확인과정을 의미한다. 시장 직접참가자인 브로커가 행한 거래를 고객인 기관투자가가 확인후 동의하는 것을 affirmation이라 하며 브로커가 당해 기관투자가에게 거래내역을 통보하는 것을 confirmation이라 한다. confirmation과 affirmation절차를 합쳐 release라고도 한다.","Affirmation"
"아시아·태평양 중앙예탁기관협의회(아시아·太平洋 中央預託機關協議會, Asia-Pacific Central Securities Depository Group ; ACG) ''97년 11월에 역내 CSD간의 협력강화 및 정보공유 원할화 등을 목적으로 결성된 아시아 지역 중앙예탁기관 협의회로서 ECSDA보다 비공식적인 CSD간의 연합체이다. 동 협의회는 15개국 18개 CSD로 구성되어 있는데 이를 살펴보면 호주(Austraclear, ASX Settlement & Transfer Corp), 홍콩(HKSCC), 인도(NSD), 인도네시아(ICSD), 일본(JSCC, JASDEC), 한국(KSD), 말레이시아(MCD), 파키스탄(CDCP), 필리핀(PCD), 중국(SSCCRC, SSCC), 싱가포르(PTE), 대만(TSCDC), 태국(TSDC), 스리랑카(PVT), 뉴질랜드(NZCSD)이다. 동 협의회는 ① 업무관행 최적화(Best Practices), ② 결제위험관리(Settlement Risk Management), ③ 정보교류(Exchange of Information), ④ 국제연계(Cross- Border Linkage)등 4개의 working group을 구성하고 있으며, 당원이 현재 결제위험관리 working group의 의장국을 수행하고 있으며, 국제연계 working group의 참가국으로 있다.","Asia-Pacific Central Securities Depository Group ; ACG"
"수출업자가 수입업자의 거래은행을 지급인으로 하여 발행한 기한부수출환어음(usance bill)을 수출업자의 거래은행이 신용장 및 선적서류와 함께 수입업자의 거래은행에 보내 수입업자의 거래은행이 인수한 어음 또는 일반적으로 단기목적으로 무역업자가 발행하고 은행이 보증하는 금융상품","BA(Bankers'' Acceptance, 은행인수어음)"
"증권회사나 증권거래소가 아닌 인터넷 정보제공업자(IP)가 홈페이지를 이용하여 주식거래를 알선해 주는 시스템이다. 동 시스템은 회원이 자신의 회사를 주식공모와 함께 시스템에 게시하고 투자자는 원하는 주식의 호가 및 수량을 입력한다. 이후 매매체결을 원하는 경우 거래 쌍방이 직접 전화, 팩스 및 e-mail 등을 통하여 거래를 실행한다. 동 시스템은 매매과정에 일절 관여하지 않으므로 대체거래시스템(ATS)이라고 할 수는 없다. 이러한 BBS의 대표적인 사례를 살펴보면 미국의 경우 1998년 1월에 설립된 PSN(People Stock Network), 우리나라의 경우 1998년에 설립된 미래벤처뱅크가 이에 해당한다.","BBS(bulletin board system)"
"국제금융거래에서 은행업무처리의 자동화를 위해 금융관련 메시지 송수신시 금융기관이 상대방 확인을 위한 소속국가 및 본지점등을 식별할 수 있는 국제코드로서 활용. 8문자 또는 11문자로 4자리 은행코드, 2자리 국가코드, 2자리 위치 코드, 3자리 지점코드로 구성","BIC(Bank Indentifier Code, 은행식별코드)"
"Blue sky란 투자가치가 없는 불건전한 증권을 의미하고 있는데 유가증권의 모집 및 매출에 있어서 사기행위(fraud)로부터 투자자를 보호하기 위해 증권판매업자의 자격을 엄격히 규제하는 내용을 주로 포함하고 있다. 미국의 각 주마다 상이한 조항을 갖고 있으나 ""caveat emptor(let the buyer beware)""원칙하에 인적 등록사항, 사기행위 및 기타 부정관습, 유가증권의 등록 등에 관한 규제들로 구성되어 있다. 말하자면, 미국 각 주(州)의 증권거래법을 blue sky law라 부른다.","BLUE SKY LAW"
"한국은행(Bank of Korea)과 금융기관을 전산으로 on-line 연결하여 은행간 자금결제 및 이체 등을 한국은행에 개설된 당좌계정을 통해 서류의 이동없이 자동처리하기 위한 금융기관간 전산망(Inter-bank Network)을 의미한다. 이는 중앙은행의 지급준비금계좌를 이용하여 자금 및 증권의 당일결제(이체)를 처리할 목적으로 운용중인 외국의 중앙은행 전산 Network(미국 Fed-wire, 일본 BOJ-NET, 스위스 SIC 등)과 비슷한 개념으로 기존의 전산망이 제1금융권만을 대상으로 하여 한정적으로 운영되어온 것에 비해 BOK-WIRE는 제2금융권 및 행정기관 등도 포함하는 종합전산시스템을 목표로 하고 있다.","BOK-WIRE"
"바흐만보고서(Bachmann Report) 미국증권거래의 안정성과 견실성을 증진하기 위하여 청산·결제과정의 개선안을 작성해 달라는 SEC의 요청으로 Bachmann Task Force가 뉴욕 연방준비은행, 워싱턴소재 연방준비은행이사회, 증권거래위원회, NSCC, DTC와 뉴욕청산회사 등 여러 기관의 연구결과를 모아서 작성한 보고서이다. Bachmann Task Force는 미국증권거래원회(SEC)가 1987년 증시대폭락사건 원인중 미국 청산·결제시스템의 문제점이 큰 역할을 차지한다고 판단하고 이에 관한 문제제기와 해결방안 모색을 위해 설립되었으며 SEC의 자문기구 성격을 갖고 있으나 SEC의 내부조직은 아니며 한시적 조직이다. 이 보고서의 주요 권고사항은 다음과 같다. ①결제과정(settlement cycle)의 단축 ②실물증권발행 억제 ③기관결제(ID)시 이중입력(dual input) ④장부상 대체기제에 의한 결제(book-entry settlement) ⑤신규발행증권의 예탁적격성 충족 ⑥당일자금화(same-day funds) ⑦청산·결제기관들이 회원들의 필요증거금 종합관리(cross- margining).","Bachmann Report"
"Capital adequacy(자본적정성), Asset quality(자산건전성), Management and administrative ability(경영관리능력), Earnings level and quality(수익성), Liquidity level(유동성)의 약자로 1991년 미국에서의 은행경영평가 결과에 따라 차별적으로 설정된 기본자본비율을 산정하는 방식이다.","CAMEL"
"독일의중앙예탁기관으로 Clearstream International Luxembourg의 자회사","CBF(Clearstream Banking Frankfurt)"
"룩셈부르크에 위치한 국제예탁결제기구(ICSD), Clearstream International Luxembourg의 자회사","CBL(Clearstream Banking Luxembourg)"
"홍콩의 증권중앙청산결제시스템을 말한다. 동 시스템의 개발 및 운영주체인 홍콩증권결제회사(Hong Kong Securities Clearing Co. : HKSCC)가 증권 선물위원회(Securities and Futures Commission : SFC)로부터 청산기관으로서 정식인가를 얻어 1992년 6월 24일부터 운영하고 있다. CCASS는 참가자계좌상의 증권계좌대체, 증권과 대금의 동시결제(DVP), 실물증권보관 등 전반적인 청산 결제 및 보관기능을 제공하고 있다.","CCASS(Central Clearing and Settlement System)"
"캐나다의 증권중앙예탁기관으로서 1970년 6월에 증권 청산 및 결제업무 제공, 계좌대체처리를 위한 예탁기관으로 설립되었으며 몬트리얼, 토론토, 캘거리증권거래소의 예탁결제기관 기능을 수행하고 있다. 캐나다에는 CDS 이외에 서부 캐나다 지역의 증권예탁기관 및 결제기관인 WCDTC와 WCCC가 있었으나 1997년 CDS로 통합되어 현재는 CDS가 캐나다의 단일 중앙예탁기관 역할을 수행하고 있다.","CDS(Canadian Depository for Securities)"
"부도위험 등 ''신용''을 사고 팔 수 있는 신용파생상품 거래로 대출이나 채권의 형태로 자금을 조달한 채무자(B기업)의 신용위험만을 별도로 분리해 이를 시장에서 사고파는 파생금융상품의 일종","CDS(Credit Default Swap, 신용부도스와프)"
"유로채 매매거래의 복잡하고 불확실한 결제절차를 개선하기 위한 목적으로 1970년 9월 28일 설립된 국제 증권예탁결제기구(ICSD)로서 룩셈부르크에 본부를 두고 있다. 현재는 유로시장 이 외에 각국의 주식, 채권, CD, CP 및 warrants 등까지 예탁적격종목을 확대하여 결제, 매매거래의 대조 및 확인, 시스템 내의 증권보관 및 각종 권리행사 지원, 증권대차업무 제공, 참가자에 대한 자금융자 등 증권과 관련된 종합적인 기능을 수행하고 있다. 뿐만 아니라 Cedel은 많은 국가의 중앙예탁기관과 업무연계를 통해 결제증권 범위를 확대하고 있으며 다통화서비스를 제공하고 있다. 한편 Cedel은 1995년 1월 1일자로 Cedel International을 지주회사로 하고 Cedel bank와 Cedel Global Services를 자회사로 하는 지주회사 체계로 조직체계를 개편하였다.","CEDEL(Central de Livraison de Valeurs Mobili res)"
"일정기준의 경험, 지식을 갖추고 기업의 전반적인 재무상태나 신용도 그리고 일반 경제동향 등 제 정보를 토대로 유가증권을 분석하는 공인 증권분석사. 미국에서는 1963년에 공인증권분석사제도가 도입되어 미국 증권분석사협회(Institute of Chartered Financial Analysts)에 의해 관리되고 있으며, 일본은 1969년 일본 증권분석사협회가 설립되어 기관회원(증권회사, 투자신탁회사, 은행 등), 준회원(신용금고, 신용조합 등) 그리고 개인회원으로 구분, 관리하고 있다. 우리나라의 경우에는 1978년에 한국 증권분석사협회가 설립되어 연 1회 이상 시험을 실시, 자격을 부여하고 있다.","CFA(Chartered Financial Analysts)"
"CFI는 국제표준화기구(ISO)가 제정한 금융상품분류코드 중 하나로 증권부문의 표준화 증대를 위하여 국내에서도 2001년 CFI를 국가표준으로 제정. CFI코드는 독자적으로 이용되기보다는 국제증권식별번호(ISIN)와 함께 이용됨. 우리나라의 경우 ISIN등록기관인 한국거래소에서 CFI코드도 부여함","CFI(Classification of Financial Instruments, 국제상품분류코드)"
"회사의 자금부분 전체를 담당하는 총괄책임자로 통상 회장인 최고경영자(CEO)·사장인 최고업무책임자(COO)와 함께 3대 최고경영인으로 분류된다. 통상 자금담당부사장으로 번역되며 회사의 경리, 자금, 원가, 심사 등 재경부분 조직을 하나로 통합, 이를 총괄하는 부사장이다. 종전에는 단순히 결산과 재무제표를 작성하는 재경부문이 의사결정지원체로 전환한 것이다. 즉 기업활동에 있어서 직·간접 금융의 필요성이 커지고 원할한 자금흐름의 중요성이 부각되면서 같이 부상하고 있는 직제다. 이미 미국, 유럽 등 선진경영체제에서는 익숙한 제도이나 국내에서는 LG그룹이 이를 도입하여 실시 중에 있으며 여타 그룹에도 점차 확산되고 있는 추세다. 외국의 경우 CFO의 한마디는 해당 기업의 주가 등에 중요한 영향을 미칠뿐만 아니라 최고경영자 못지 않는 중요한 자리로 평가받고 있다.","CFO (Chief Financial Officer)"
"역내신용보증투자기구 아시아 채권 시장 발전을 위해 Asean+3개국이 역내예탁결제기구, 역내신용평가기구 등과 함께 설립을 논의하는 역내 신용보증투자기구(CGIF)","CGIF(Credit Guarantee and Investment Facility)"
"영란은행(Bank of England)의 사무국으로서 국채(Gilt-edged securities)에 대한 계좌대체시스템이며 집중예탁기능도 수행하고 있다. 1982년 증권양도법(Stock Transfer Act)의 적용을 받으며 투자기관, 브로커/딜러, 전문보관기관 등이 동 시스템에 참여하고 있다. CGO회원이 주컴퓨터에 대해 증권인도분을 입력시키면 전산에 의해 LSE의 네트웍을 통한 대조작업이 이행되며 매매대조가 완료된 때에 회원의 계좌간 대체를 통해 결제가 이루어진다. 현재 영국에는 유가증권의 유형별로 집중예탁기관이 존재하고 있는데 이중 CGO는 국채(Gilt-edged sucurities)를 대상으로, CMO(Central Moneymarket Office)는 스털링화 단기금융시장 상품을 담당하고 있다. 그러나 영국 증권시장 전반에 대한 통합결제시스템을 구축하기 위하여 CGO를 CMO와 동시에 CREST로 통합시키기로 영란은행과 CREST시스템 운영자인 CRESTCo간에 합의가 이루어져 현재 통합절차가 진행되고 있다.","CGO(Central Gilts Office)"
"영국의 증권거래 관련 대금자동지급시스템을 말한다. CHAPS는 일반 소매투자자를 대상으로 하지 않으며 거래소시장 직접참가자의 대금결제를 위한 당일자금(same day)에 의한 결제기능을 제공하고 있다. CHAPS를 통한 지급지시는 대금의 수령여부에 관계없이 당해 은행이 수익자의 대변잔고를 기재할 법적 의무를 갖는 유효한 지급으로 인정되어 거래상대방의 리스크 제거는 물론 증권인도와 대금지급의 동시이행(DVP)을 달성시키고 있다.","CHAPS(Clearing House Automated Payment System)"
"증권의 무권화를 위한 호주증권시장의 결제기구 전산보조등록시스템을 말한다. 호주 증권시장에서의 청산 결제 및 등록(소유권 이전)업무를 담당하고 대금지급시스템과의 인터페이스를 통한 증권인도와 대금지급의 동시이행(DVP)을 처리하며 나아가 실물이 배제된 완전한 전자계좌대체를 운용하기 위한 목적으로 개발중인 증권시스템이다. 1994년 5월까지의 1단계 개발에서는 전자보조등록부(electronic subregister)의 구축을, 그리고 그 이후 2단계 개발에서는 증권과 대금의 동시결제(DVP)를 이행할 예정으로 있다.","CHESS(Clearing House Electronic Subregister System)"
"뉴욕의 유로달러나 외환을 결제하는 은행간 자동자금이체제도로서 은행간 자동이체에 혁신적인 역할을 수행한다. 가맹은행 간에는 소형 터미날이나 전화를 통해 지급지시가 이루어지고 이에 준거하여 자금이체가 즉각적으로 이루어짐으로써 효율적으로 거래가 이루어진다. 1981년 10월 1일부터는 종래의 익일결제시스템을 당일결제시스템으로 전환시켜 익일자금(next-day fund)이던 Clearing House Fund가 당일자금(same day fund)으로 됨으로써 은행업무의 혁신을 이루는 계기가 되었다. 특히 CHIPS는 SWIFT의 기능과 연계되어 국제자금의 신속한 결제를 가능하게 하고 있다.","CHIPS(Clearing House Interbank Payments System)"
"CIK는 벨기에의 중앙예탁기관으로서 1967년 11월 10일자 칙령에 의해 유가증권의 집중보관과 참가자 증권계좌간 대체기재업무를 인가받은 유일한 기관이다. 벨기에 일반투자자의 실물증권 보유성향과 기관투자가의 제로쿠폰 형태의 기명증권 선호로 인해 실물증권의 대량이동이 수반됨으로 해서 CIK는 타국의 중앙예탁기관에 비해 낮은 수준의 시장점유를 나타내고 있다. 증권은 CIK내에 종목별로 혼합보관되며 계좌대체에 의해 이전된다. 반환 및 실물인도는 항상 가능하며 이자 및 배당금의 지급은 CIK에 의해 처리되고 있다. CIK는 주식회사이며 벨기에내의 은행, 공공금융기관 및 증권거래소위원회에 의해 공동소유되고 있으며, 증권거래소 매매주문을 처리하도록 인가된 모든 벨기에 금융기관이 CIK의 회원이 될 수 있다. 외국결제기관을 포함한 외국기관의 경우도 이사회의 승인하에 회원으로 참가할 수 있다. 발행회사와 투자회사는 참가가 허용되지 않는다.","CIK(Caisse Interprofessionnelle Kas)"
"1977년에 미국의 Merrill Linch사와 Ohio주의 Columbus Bank와의 제휴로 개발된 신종 금융상품으로, 투자신탁계정의 발행이나 상환 등에 한정하지 않고 신용카드 이용 및 수표발행을 통한 결제기능과 증권계정에의 예치증권을 담보로 한 신용공여기능을 결합시킨 현금관리계정을 의미한다. CMA는 주로 현금이나 증권을 예탁하여 증권투자를 행하는 증권계정과 유휴 현금의 운용을 목적으로 설립된 신탁계정 그리고 제휴은행에 개설되는 수표 및 카드계정으로 구성된다. 국내의 CMA는 미국의 경우와는 달리 결제기능이 없으며 고객의 자금을 CP, CD 및 단기 국공채 등에 운용하여 수익금을 투자자에게 분배하는 제한적인 수익증권업무의 성격을 갖고 있다.","CMA(Cash Management Account)"
"역내 통화스왑협정 동남아시아국가연합(ASEAN, 아세안)과 한국·중국·일본 3국이 외환위기 발생을 방지하기 위하여 체결한 통화교환협정. 동남아시아 각국 중앙은행 간에 통화스와프(서로 다른 통화를 약정된 환율에 따라 일정한 시점에서 상호교환하는 외환거래)가 원활히 이루어지도록 네트워크를 구축","CMI(Chiang Mai Initiative)"
"영란은행(Bank of England)이 운영하고 있는 단기금융상품의 집중예탁·결제기구로서 영국의 재경부 단기증권(Treasury Bill), 예탁증서(Certificate of Deposit), 지방자치단체증권(Local Authority Bill), CP, 환어음(Bill of Exchange) 등을 대상으로 계좌대체업무를 수행하여 매매거래의 결제처리를 합리화시키고 있다. 현재 CGO와 동일하게 CREST로 통합시키기로 영란은행과 CRESTCo간에 합의가 이루어져 현재 통합절차가 진행되고 있다.","CMO(Central Moneymarket Office)"
"지급결제제도위원회 국제결제은행(Bank for International Settlements, BIS) 산하의 지급결제제도 위원회로 건전하고 효율적인 지급 및 결제시스템을 도모하기 위해 금융시장 인프라 강화를 목적으로 함","CPSS(Committee on Payment and Settlement System)"
"CREST는 런던증권거래소가 중심이 되어 기존의 예탁결제시스템인 TALISMAN을 TAURUS로 대체하려는 계획이 1993년 3월 실패로 돌아감에 따라 영란은행이 중심이 되어 개발한 새로운 예탁결제시스템이다. 즉, 영국 증권예탁결제제도의 낙후성을 극복하기 위해 개발한 증권예탁결제시스템으로 주식, 회사채 등의 증권을 전자적으로 예탁받아 무권화 상태로 관리하고, 예탁된 무권화증권의 거래를 결제하는 무권화증권의 예탁결제시스템이다. 동 시스템의 운영자인 CRESTCo는 ""1995년 금융서비스법""에 의한 공인결제기관(recognized clearing house)으로서 재경부의 승인을 받아 CREST를 운영하고 있다. CREST는 1996년 7월부터 런던증권거래소 및 Tradepoint에서 거래된 증권에 대한 예탁결제업무와 LIFFE에서 거래된 선물과 옵션에 따른 증권의 결제업무를 담당하였으며, 1997년 4월 기존의 증권예탁결제시스템인 런던증권거래소의 TALISMAN을 완전히 대체하였다. CRESTCo의 소유구조는 런던과 아일랜드거래소를 포함한 70개의 시장참가자에 의해 소유된 민간부문의 주식회사다. 소유지분은 참가자의 이용실적을 감안하여 2년마다 조정되고 있으며, 회사운영의 공정성과 객관성 확보를 위하여 주식소유한도를 제한하고 있다. CREST는 브로커, 마켓메이커, 기관투자가 및 보관기구에게 국내주식 및 회사채에 대한 예탁과 계좌간 대체시스템을 제공하며, 개인투자자는 명의인(nominee)제도를 통해 참가가 가능하다. CREST는 유가증권을 무권화 형태로 관리하고 실물형태의 증권은 보관하지 않는다. 그러나 증권의 무권화를 추진함에 있어 강제적인 무권화 방식이 아닌 투자자 임의 결정에 의한 무권화제도를 시행하고 있다. CRESTCo는 영국증권시장의 효율화를 위해 통합결제시스템을 구축하고자 영란은행과 협의하에 국채 예탁결제시스템인 CGO와 단기금융상품의 예탁결제시스템인 CMO를 CREST와 통합키로 하고 현재 통합작업을 추진중에 있다.","CREST"
"증권중앙예탁기관. 실물증권의 이동이 배제된 계좌대체에 의한 증권의 이전(book-entry transfer)이 가능하도록 하기 위해 혼합보관이 가능한 대체성있는 증권을 실물 또는 불발행(무권화) 형태로 보관, 관리하는 기관이다. 즉 유가증권의 부동화 또는 무권화를 통해 계좌대체방식에 의한 권리이전 뿐 아니라 예탁증권의 권리행사에 수반되는 제반 관리업무를 집중적으로 수행하는 기관이다. CSD는 증권의 보관, 결제후 업무처리기능(post-trade function : 배당금지급, 원리금상환, 의결권행사, 신주인수권행사 등) 이 외에도 매매거래의 대조, 동시이행(DVP)에 의한 결제기능을 수행함으로써 유가증권 거래에 따른 리스크를 최소화하고 증권관리업무의 효율성을 제고한다. 각국의 CSD는 덴마크의 경우처럼 선물, 옵션, 주식, 채권, 단기금융증권 등 거의 모든 증권시장을 통합, 관리하는 단일 중앙예탁기관(VP)을 운영하는 유형과 미국처럼 증권종류별로 각각의 기관을 운영하는 유형으로 크게 구분되지만, 미국, 영국 등에서의 최근 동향에서 알 수 있듯이 전국가적인 경쟁력 강화라는 측면에서 예탁결제기구들이 통합화되는 추세에 있다. 이러한 예탁결제기구의 통합화 추세는 G-30 등이 증권시장의 안전성 및 효율성 제고 측면에서 각국이 단일의 중앙예탁기관을 보유할 것을 권고하고 있는 것과 일맥상통한다고 할 수 있다. 한편 각국의 중앙예탁기관 즉, DTC(미국), DBC(독일), JASDEC(일본), SICOVAM(프랑스) 등을 National Central Securities Depository(NCSD)라 하고 Euro-Clear와 Cedel 등 국제 예탁 결제기관을 International Central Securities Depository(ICSD)라고 한다.","CSD(Central Securities Depsitory)"
"미국내에서 표준화된 증권코드시스템을 운영하는 단체를 지칭하며 Standard & Poor''s사의 Securities Service Bureau에서 실무를 담당하고 있다. CUSIP 코드시스템은 미국 금융계 전체가 미국에서 발행되는 증권의 동일성 식별을 위해 이용하는 표준화된 코드로서 백만종 이상의 증권이 동 시스템에 따라 동일성의 식별이 이루어지고 있다. CUSIP 코드는 9자의 알파벳과 숫자로 구성되며 각 종목에 대해 영구적으로 배정된다. 동 코드는 증권거래의 모든 분야 즉, 매매조회, 통신, 보고, 인도지시, 명의개서, 배당금 청구, 등록 등에 사용되고 있으며, 여러 넘버링시스템을 채용할 경우 야기될 수 있는 혼란 및 업무지연을 방지하고 있다.","CUSIP(The Committee on Uniform Securities Identification Procedures)"
"브로커간에 매매거래내역 확인을 위한 대조리스트(comparison sheet)를 교환하는 경우, 확실히 파악되지 않는 거래 즉, 불일치내역이 발생할 때 이를 ""don''t know"" 또는 QT(Questioned Trade)라고 한다.","D.K.(Don''t Know)"
"독일증권시장의 주가지수(Dentsche Aktien Index). 독일에는 DAX외에도 Commerz지수, FAZ(Frankfurter Allgemeine Zeitung)지수 등이 있는데 dax 도입 이전의 두 지수가 독일을 대표하는 시장지수로서의 지위를 확보하지 못하였고 옵션거래 및 선물거래시 개별종목의 주가변동에 실시간으로 연동, 계산되는 종합적인 주가지수의 필요성 등으로 인해 1988년 7월 1일부터 이용되고 있다. DAX는 1978년 12월말 주가를 기준(1,000)으로 30종목의 납입자본금을 가중평균하여 각각의 주가변화에 연동, 오전 10시30분부터 오후 1시30분까지 매분마다 계산, 발표되고 있다.","DAX"
"독일의 증권중앙예탁기관. 1989년 12월 각 증권거래소에 위치한 지역 예탁기관(Kassenverein)들이 합병하여 설립한 증권중앙예탁기관이자 청산·결제기관이다. DBC는 대체성있는 증권(fungible securities)의 혼합보관과 유가증권 대체결제업무를 수행하고 있는데, 금융제도법(은행법)의 적용을 받으며 연방은행감독국의 감독을 받고 있다. 원래는 계좌설정자인 80여개 독일 은행에 의해 DBC의 주식이 보유되는 참가자 소유의 자본금 구성형태를 유지하였으나, 1993년 3월 Frankfurt 증권거래소가 독일선물거래소(Deutsche Terminborse)와 DBC 그리고 DBC의 자회사인 DWZ(Deutsche Wertpapier-Daten-Zentrale : 증권전산센타), AKV(Auslandkassenverein AG : 외국증권예탁기관)를 인수함으로써 통합화가 이루어졌다. 그후 DBC는 국제커스터디업무 진출 등 새로운 업무영역 개척과 국제연계를 확대하기 위한 전략적 차원에서 1997년 하반기에 DKV에서 DBC로 명칭을 변경하였다.","DBC(Deutsche B rse Clearing AG)"
